A:
10.0.0.1 | 10.0.0.1 | 10.0.0.1 | 0
10.0.1.1 | 10.0.1.1 | 10.0.1.1 | 0
10.0.2.1 | 10.0.2.1 | 10.0.2.1 | 0
10.0.0.2 | 10.0.0.2 | 10.0.0.1 | 1
10.0.2.2 | 10.0.2.2 | 10.0.2.1 | 1
10.0.3.1 | 10.0.0.2 | 10.0.0.1 | 1
10.0.4.1 | 10.0.0.2 | 10.0.0.1 | 1
10.0.5.1 | 10.0.2.2 | 10.0.2.1 | 1
10.0.8.2 | 10.0.2.2 | 10.0.2.1 | 1
10.0.3.2 | 10.0.2.2 | 10.0.2.1 | 2
10.0.4.2 | 10.0.0.2 | 10.0.0.1 | 2
10.0.5.2 | 10.0.0.2 | 10.0.0.1 | 2
10.0.6.1 | 10.0.0.2 | 10.0.0.1 | 2
10.0.7.1 | 10.0.2.2 | 10.0.2.1 | 2
10.0.8.1 | 10.0.2.2 | 10.0.2.1 | 2
10.0.1.2 | 10.0.0.2 | 10.0.0.1 | 4
10.0.6.2 | 10.0.0.2 | 10.0.0.1 | 4
10.0.7.2 | 10.0.0.2 | 10.0.0.1 | 4
B:
10.0.2.2 | 10.0.2.2 | 10.0.2.2 | 0
10.0.5.1 | 10.0.5.1 | 10.0.5.1 | 0
10.0.8.2 | 10.0.8.2 | 10.0.8.2 | 0
10.0.0.1 | 10.0.2.1 | 10.0.2.2 | 1
10.0.1.1 | 10.0.2.1 | 10.0.2.2 | 1
10.0.2.1 | 10.0.2.1 | 10.0.2.2 | 1
10.0.3.2 | 10.0.8.1 | 10.0.8.2 | 1
10.0.7.1 | 10.0.8.1 | 10.0.8.2 | 1
10.0.8.1 | 10.0.8.1 | 10.0.8.2 | 1
10.0.0.2 | 10.0.2.1 | 10.0.2.2 | 2
10.0.3.1 | 10.0.2.1 | 10.0.2.2 | 2
10.0.4.1 | 10.0.2.1 | 10.0.2.2 | 2
10.0.4.2 | 10.0.5.2 | 10.0.5.1 | 3
10.0.5.2 | 10.0.5.2 | 10.0.5.1 | 3
10.0.6.1 | 10.0.5.2 | 10.0.5.1 | 3
10.0.1.2 | 10.0.8.1 | 10.0.8.2 | 4
10.0.6.2 | 10.0.8.1 | 10.0.8.2 | 4
10.0.7.2 | 10.0.8.1 | 10.0.8.2 | 4
C:
10.0.0.2 | 10.0.0.2 | 10.0.0.2 | 0
10.0.3.1 | 10.0.3.1 | 10.0.3.1 | 0
10.0.4.1 | 10.0.4.1 | 10.0.4.1 | 0
10.0.0.1 | 10.0.0.1 | 10.0.0.2 | 1
10.0.1.1 | 10.0.0.1 | 10.0.0.2 | 1
10.0.2.1 | 10.0.0.1 | 10.0.0.2 | 1
10.0.4.2 | 10.0.4.2 | 10.0.4.1 | 1
10.0.5.2 | 10.0.4.2 | 10.0.4.1 | 1
10.0.6.1 | 10.0.4.2 | 10.0.4.1 | 1
10.0.2.2 | 10.0.0.1 | 10.0.0.2 | 2
10.0.5.1 | 10.0.0.1 | 10.0.0.2 | 2
10.0.8.2 | 10.0.0.1 | 10.0.0.2 | 2
10.0.1.2 | 10.0.4.2 | 10.0.4.1 | 3
10.0.3.2 | 10.0.0.1 | 10.0.0.2 | 3
10.0.6.2 | 10.0.4.2 | 10.0.4.1 | 3
10.0.7.1 | 10.0.0.1 | 10.0.0.2 | 3
10.0.7.2 | 10.0.4.2 | 10.0.4.1 | 3
10.0.8.1 | 10.0.0.1 | 10.0.0.2 | 3
D:
10.0.4.2 | 10.0.4.2 | 10.0.4.2 | 0
10.0.5.2 | 10.0.5.2 | 10.0.5.2 | 0
10.0.6.1 | 10.0.6.1 | 10.0.6.1 | 0
10.0.0.2 | 10.0.4.1 | 10.0.4.2 | 1
10.0.3.1 | 10.0.4.1 | 10.0.4.2 | 1
10.0.4.1 | 10.0.4.1 | 10.0.4.2 | 1
10.0.0.1 | 10.0.4.1 | 10.0.4.2 | 2
10.0.1.1 | 10.0.4.1 | 10.0.4.2 | 2
10.0.1.2 | 10.0.6.2 | 10.0.6.1 | 2
10.0.2.1 | 10.0.4.1 | 10.0.4.2 | 2
10.0.6.2 | 10.0.6.2 | 10.0.6.1 | 2
10.0.7.2 | 10.0.6.2 | 10.0.6.1 | 2
10.0.2.2 | 10.0.5.1 | 10.0.5.2 | 3
10.0.5.1 | 10.0.5.1 | 10.0.5.2 | 3
10.0.8.2 | 10.0.5.1 | 10.0.5.2 | 3
10.0.3.2 | 10.0.5.1 | 10.0.5.2 | 4
10.0.7.1 | 10.0.5.1 | 10.0.5.2 | 4
10.0.8.1 | 10.0.5.1 | 10.0.5.2 | 4
E:
10.0.3.2 | 10.0.3.2 | 10.0.3.2 | 0
10.0.7.1 | 10.0.7.1 | 10.0.7.1 | 0
10.0.8.1 | 10.0.8.1 | 10.0.8.1 | 0
10.0.2.2 | 10.0.8.2 | 10.0.8.1 | 1
10.0.5.1 | 10.0.8.2 | 10.0.8.1 | 1
10.0.8.2 | 10.0.8.2 | 10.0.8.1 | 1
10.0.0.1 | 10.0.8.2 | 10.0.8.1 | 2
10.0.1.1 | 10.0.8.2 | 10.0.8.1 | 2
10.0.2.1 | 10.0.8.2 | 10.0.8.1 | 2
10.0.0.2 | 10.0.8.2 | 10.0.8.1 | 3
10.0.1.2 | 10.0.7.2 | 10.0.7.1 | 3
10.0.3.1 | 10.0.8.2 | 10.0.8.1 | 3
